0,,,04:00:24
1,,,03:25:26
2,,,03:19:59
3,,,04:22:04
4,,,04:52:04
5,,,04:35:42
6,,,04:22:13
7,,,04:23:04
8,,,05:31:52
9,,,04:59:15
10,,,04:30:21
11,,,04:05:30
12,,,05:02:52
13,,,04:20:58
14,,,05:01:39
15,,,03:29:56
16,,,04:01:47
17,,,04:00:00
18,,,05:24:47
19,,,-1
20,,,05:27:42
21,,,04:37:32
22,,,04:10:58
23,,,04:46:53
24,,,04:30:25
25,,,04:51:35
26,,,05:26:56
27,,,03:58:05
28,,,03:37:41
29,,,04:33:16
30,,,05:30:49
31,,,03:39:37
32,,,05:22:34
33,,,05:36:46
34,,,04:08:41
35,,,05:36:50
36,,,-1
37,,,04:49:05
38,,,04:28:01
39,,,05:26:11
40,,,03:49:39
41,,,04:30:20
42,,,04:32:10
43,,,03:52:40
44,,,04:56:29
45,,,04:27:18
46,,,04:38:59
47,,,04:24:18
48,,,04:29:06
49,,,04:36:00
50,,,05:35:38
51,,,05:13:21
52,,,03:22:19
53,,,04:02:10
54,,,05:36:51
55,,,05:36:04
56,,,03:32:59
57,,,03:52:40
58,,,04:37:35
59,,,04:16:22
60,,,03:52:48
61,,,03:55:50
62,,,05:14:55
63,,,04:52:10
64,,,03:54:53
65,,,03:45:34
66,,,03:55:45
67,,,03:59:03
68,,,05:07:36
69,,,03:39:53
70,,,04:20:09
71,,,04:50:11
72,,,05:16:18
73,,,04:09:56
74,,,05:29:48
75,,,03:52:18
76,,,04:46:21
77,,,04:10:54
78,,,04:33:41
79,,,05:23:13
80,,,05:22:55
81,,,04:53:21
82,,,04:51:53
83,,,04:44:37
84,,,04:06:49
85,,,05:08:14
86,,,05:31:47
87,,,05:12:43
88,,,04:34:10
89,,,04:40:07
90,,,03:41:37
91,,,04:35:32
92,,,04:34:58
93,,,03:28:14
94,,,05:19:19
95,,,04:26:06
96,,,04:56:35
97,,,05:36:32
98,,,04:48:31
99,,,05:25:45
100,,,05:03:05
101,,,04:25:10
102,,,04:58:16
103,,,03:53:55
104,,,05:04:53
105,,,05:32:22
106,,,05:31:51
107,,,04:08:18
108,,,03:57:57
109,,,04:14:23
110,,,04:12:03
111,,,03:47:48
112,,,04:58:25
113,,,04:57:08
114,,,04:01:37
115,,,05:20:06
116,,,04:21:43
117,,,05:24:26
118,,,05:17:18
119,,,03:54:15
120,,,05:36:51
121,,,05:15:39
122,,,05:27:04
123,,,04:38:31
124,,,04:14:15
125,,,03:45:51
126,,,04:08:42
127,,,04:43:44
128,,,04:29:08
129,,,04:10:33
130,,,03:34:26
131,,,04:31:38
132,,,04:43:35
133,,,03:59:51
134,,,03:58:42
135,,,04:28:50
136,,,04:00:28
137,,,04:17:26
138,,,05:30:28
139,,,05:13:18
140,,,04:37:44
141,,,04:24:27
142,,,05:05:39
143,,,03:56:02
144,,,05:06:31
145,,,04:55:47
146,,,04:38:06
